RL,ND,CA, NP , LPI , CLUMPY , AI , NLSI
223.9317412,2.02142793,779.81,1599,2.4637,0.7519,76.9207,0.2308
482.7183536,4.49076532,1086.18,1879,2.5998,0.7722,79.5305,0.2047
269.9773989,2.428650155,1247.49,3615,3.0977,0.7434,77.1487,0.2285
2069.024687,18.17365803,5926.08,3765,15.1572,0.6448,82.669,0.1815
746.6966893,6.23532889,640.56,2748,0.3196,0.6756,69.2598,0.3074
552.7388,4.551285523,979.12,7658,0.3336,0.6272,65.7071,0.3429
585.0355975,4.873079395,1926.1,3742,1.5431,0.7182,76.2891,0.2371
1459.956109,12.83476494,3781.86,5057,5.3396,0.6601,77.1177,0.2288
683.6913474,6.015930009,2589.13,6457,2.7476,0.6468,72.5978,0.274
987.4803003,8.189533218,1295.15,4670,1.0388,0.6656,70.1227,0.2988
370.7376276,3.12736526,886.48,2258,2.0988,0.6641,68.914,0.3109
94.16195361,0.839761459,199.58,1063,0.1876,0.6786,68.4076,0.3159
743.6804226,6.341028935,698.2,1409,2.2481,0.7577,77.211,0.2279
700.6651316,5.921089522,792.76,2565,2.251,0.6398,66.3911,0.3361
462.8251848,4.059944855,975.82,3464,1.4584,0.6951,72.1213,0.2788
304.583544,2.979163501,569.94,1703,0.619,0.7152,73.0931,0.2691
124.1049669,1.117774438,627.04,1250,1.7582,0.7522,76.6154,0.2338
733.767297,6.20252885,773.09,2508,0.5254,0.685,70.5591,0.2944
916.7166845,7.648314233,1622.23,9219,0.5406,0.6397,68.8503,0.3115
65.8843012,0.602407902,201.228,830,0.081,0.7018,70.7262,0.2927
1000.437922,8.33028863,1386.6,3705,5.2186,0.7188,75.1055,0.2489
563.8160854,4.732048753,958.16,2056,3.7297,0.7242,74.5948,0.2541
175.9424185,1.526943714,194.75,1339,0.1039,0.6662,67.1658,0.3283
261.3346181,2.298056261,913.07,2146,0.7358,0.7651,78.3665,0.2163
238.2781967,2.186553235,707.84,823,3.3414,0.7743,78.8549,0.2115
415.5395167,3.46507518,952.56,3056,0.8318,0.7142,73.6611,0.2634
351.725557,3.106951494,829.58,4280,0.9712,0.6557,68.039,0.3196
266.6257843,2.326958181,1419.37,1607,1.3066,0.7791,80.5725,0.1943
190.6341889,1.716976546,1092.48,2684,2.2792,0.7494,77.397,0.226
192.4902592,1.827763293,442.7,1752,0.1964,0.7131,72.494,0.2751
541.1003692,5.179088927,1104.42,3699,1.4949,0.7111,74.1385,0.2586
146.1931408,1.292575619,698.2,1409,2.2481,0.7577,77.211,0.2279
961.051441,8.157199409,1077.42,2456,4.8165,0.71,73.6141,0.2639
337.8231128,3.026230712,403.15,2831,0.4183,0.6363,64.9137,0.3509
403.731481,3.686661884,265.49,2786,0.0394,0.598,60.7443,0.3926
157.4024242,1.36648199,773.85,1678,0.7068,0.7569,77.3015,0.227
483.4974673,4.386826283,1669.21,3084,1.621,0.7491,78.6547,0.2135
400.7090681,3.577404086,1363.01,4617,2.5773,0.7005,73.6834,0.2632
205.7527086,1.815502869,700.69,3923,0.9131,0.6512,67.2361,0.3276
262.8876668,2.197805542,714.47,2144,1.3486,0.7195,73.5914,0.2641
1227.188183,10.1631309,3318.04,5014,2.3823,0.7016,78.2052,0.2179
315.9401845,2.85080685,1490.76,3768,4.5038,0.7196,75.6963,0.243
1668.40986,15.71166892,2951.7,4254,0.6176,0.6808,76.7098,0.2329
242.3620162,2.132027015,366.7,4348,0.3551,0.5725,58.6044,0.414
943.8396525,8.857751756,1688.96,3288,2.3968,0.6893,73.7075,0.2629
126.3509773,1.155280177,240.89,824,0.0629,0.6937,70.0169,0.2998
408.1377429,3.666725906,1468.66,3154,3.0767,0.7122,74.9694,0.2503
839.6136384,6.999460192,683.18,2977,0.3561,0.6657,68.4314,0.3157
746.2860531,6.317524567,754.11,3051,0.52,0.7054,72.412,0.2759
